2	店-お-compound	また行きたい、そんな気持ちにさせてくれるお店です。
3	同様-薄羽-compound	手に持った特殊な刃物を使ったアクロバティックな体術や、揚羽と薄羽同様にクナイや忍具を使って攻撃してくる。
4	記録-大学-compound	3年次にはトータルオフェンスで2,892ヤードを獲得し、これは大学記録となった。
6	側-北-compound,南-大橋-compound,交点-現道-compound	1998年度に着手し、道の駅遠山郷北側からかぐら大橋南詰現道交点までの1.060 kmのみ開通済み。
7	山家-美-compound,生物-円盤-compound	そして、第40話でそのカオルと百子をも失い、完全に孤児になってゲンとともに美山家に身を寄せ、またゲンに連れ添って円盤生物を調査するパートナーとなる。
8	型-翼-compound,中心-圧-compound,勾配-圧力-compound	一般的な層流翼型と比べ負圧中心が前進し、圧力勾配はなだらかである。
9	ダメージ-電撃-compound	一直線に伸びる電撃を放ち、電撃ダメージを与える。
10	後-半年-compound,後-年-compound,要因-阻害-compound	配属されて最初の1カ月こそ「親切な先輩に恵まれてラッキーだな」と思ったものの、その後すぐに「ちょっとおせっかいかな」と感じるようになり、半年後には「少し邪魔かも」と思い、1年後には「生産性の阻害要因だ」と確信するに至りました。
13	内閣-小泉-compound,支持率-高-compound,民主-自由-compound,民主-・-compound,勢力-非自民-compound	小泉内閣の高支持率を背景に国政の主導権を握る与党の自由民主・公明両党に対して政権交代の展望を見出すため、非自民勢力の結集を狙ったものであった。
15	系-エンゲージメント-compound	エンゲージメント系の事例で言えば,日本での再現性は低いという前提でいた方がイイのかなと思っています。
16	大-居酒屋-compound	店舗の見た目が居酒屋大の二階にしか見えないのが残念。
17	スイーツ-四国-compound,ラ-・-compound	高松に3店舗を展開する四国スイーツの専門店、ラ・ファミーユでは、バレンタインを前に、焼かないチョコレートケーキ「半熟ザッハトルテ」の発売を開始しました。
18	的な-隠れ家-compound	王子の隠れ家的な美容室と思っているのですが、思い切って口コミしちゃいます。
19	2世-クロヴィス-compound	クロヴィス2世とバルティルドの子供。
20	名-チーム-compound,時代-アマチュア-compound,ロッテ-・-compound,オーナー-重光-compound,釜山-・-compound,地域-慶尚南道-compound,保護地域-フランチャイズ-compound,球団-プロ-compound	チーム名はアマチュア時代の「ロッテ・ジャイアンツ」の名をそのまま維持して、重光オーナーの故郷である釜山・慶尚南道地域をフランチャイズ保護地域として、釜山を本拠地とするプロ球団として転向した。
21	帰り-仕事-compound	カットは24時まで受け付けてくるので仕事帰りで遅くなってもいけますね。
23	藩-高鍋-compound	日向国高鍋藩の第7代藩主。
24	長-履帯-compound,部-先端-compound,砲-mm-compound,性-走破-compound	短い履帯長に対して長い車体は超塹性能がまた先端部へ75mm砲を収納するためにオーバーハングが長いためにほんの少しの段差を乗り越えただけで車体がつかえることが多く、不整地走破性は劣悪であった。
27	駆動-後輪-compound,トレッド-ワイド-compound,回り-足-compound,フェンダー-スター-compound,尽-イタリア-compound,とも-品-compound	後輪駆動への変更と、ワイドトレッドとなった足回りは大型のブリスターフェンダーに包まれ、多くのエアインテークやイタリア尽くめの装備品とも相まって、ラテンの香りが強く漂うモデルであった。
28	現在-8月-compound	犯人は検挙されておらず、2012年8月現在未解決。
29	駅-幡生-compound,駅-*-compound,駅-当-compound,間-下関駅-compound,駅-幡生-compound	山陽新幹線厚狭駅-新下関駅-小倉駅山陽本線長府駅-新下関駅-幡生駅*当駅を始発とする「みすゞ潮彩」は、当駅-下関駅間では幡生駅に停車しない。
30	出身-石川県-compound	石川県出身。
31	さん-店員-compound	店員さんの接客もとても良かったです。
33	業務-郵便貯金-compound,補てん-赤字-compound	これに対して、民間の金融機関からは、金融サービスの拡充は本来の郵便貯金業務の枠を超えたものであること、ドイツテレコムからの赤字補てんは、民間との公正な競争を阻害していることなどが批判された。
34	教授-孝之-compound,治療-がん-compound,そのもの-細胞-compound,化-悪性-compound	研究に携わった山下孝之教授は「これまでのがん治療は細胞そのものの増殖を抑えるものだったが、悪性化を抑える新しい治療もできるかもしれない」と話している。
35	ぶり-カ月-compound,水準-高値-compound,ポンド-英-compound,ぶり-月-compound	ドルは主要通貨に対して弱含み、3年3カ月ぶりの高値水準で推移したほか、英ポンドが4月ぶり、豪ドルが2月ぶりの高値をつけた。
36	リマスター-HD-compound	映像はHDリマスターでの収録となる。
37	艦隊-イングランド-compound,兵-義勇-compound,港-ベルゲン-compound,共和国-オランダ-compound	6月 19日に保釈金を支払い釈放、7月 15日からイングランド艦隊の義勇兵となり、8月 1日にノルウェーのベルゲン港でオランダ共和国との交戦を経験した。
38	手首-・-compound,痕-かな-compound	手首・足に釘で貫かれた明らかな痕がある。
40	最多-国内-compound	国内最多の店舗数を誇る。
42	時代-ルーキー-compound,交じり-苦笑-compound	球界の話題を独占している次代のエースに対し、ダルビッシュは自身のルーキー時代を振り返りながら苦笑交じりに比較した。
