1	kecamatan-Kejajar-flat,kabupaten-Wonosobo-flat	Sembungan adalah sebuah desa yang terletak di kecamatan Kejajar, kabupaten Wonosobo, Jawa Tengah, Indonesia.
2	serangan-pengayauan-compound	Sebuah serangan pengayauan biasanya terjadi di ladang atau dengan membakar sebuah rumah dan memenggal semua penghuninya ketika mereka melarikan diri.
3	helm-Brodie-flat,tentara-Imperium-flat,Imperium-Britania-flat,Stahlhelm-Jerman-flat,perbaikan-desain-compound	Perkembangan ini diikuti oleh helm Brodie yang dipakai tentara Imperium Britania dan AS, dan pada tahun 1916 oleh Stahlhelm Jerman dengan perbaikan desain yang masih dipakai sampai sekarang.
4	kapal-Hiei-flat,bagian-lambung-compound,lambung-kapal-compound,kapal-Hiei-flat	Dari jarak dekat, dua kapal perusak, Sterett dan O 'Bannon menembakkan beberapa kali salvo ke bangunan atas kapal Hiei. Sebelum melarikan diri ke dalam kegelapan, keduanya mungkin sempat menyarangkan satu atau dua buah torpedo ke bagian lambung kapal Hiei hingga makin memperparah kerusakan.
5	Angka-harapan-compound,harapan-hidup-compound,rerata-Uni-flat,Uni-Eropa-flat	Angka harapan hidup adalah 73, 4 tahun, yakni di bawah rerata Uni Eropa.
6	Pasukan-Mongol-flat,Raden-Wijaya-flat,kerajaan-Kediri-flat	Pasukan Mongol yang tidak tahu apa yang harus mereka perbuat itu disiasati oleh Raden Wijaya untuk membantunya memberontak melawan kerajaan Kediri.
7	studi-perbandingan-compound	Krogh juga yang pertama kali membuat studi perbandingan pada hewan.
8	rilisan-EP-flat,Extended-Play-flat,Moshi-Moshi-flat,Moshi-Harajuku-flat,Pamyu-Pamyu-flat,Pamyu-Revolution-flat	Lagu ini kemudian ditampilkan sebagai lagu utama dalam rilisan EP (Extended Play), Moshi Moshi Harajuku, dan album "Pamyu Pamyu Revolution".
9	kelompok-pendidikan-compound	Maka dimulailah suatu gerakan yang bertujuan membentuk kelompok pendidikan.
10	Cikal-bakal-compound,Lembaga-Pendidikan-flat,Bapak-M-flat,kegiatan-belajar-compound,Musholla-Taqwa-flat,Taqwa-Muaradua-flat	Cikal bakal Lembaga Pendidikan ini dirintis oleh beberapa ulama terdahulu di antaranya oleh almarhum Bapak M. Basith yang kegiatan belajar mengajarnya bermula di Musholla Taqwa Muaradua sejak pengujung tahun '70 - an.
11	kalangan-masyarakat-compound,Amerika-Serikat-flat	Demikian juga bagi sebagian besar kalangan masyarakat yang menganggap bahwa pemerintahan di Amerika Serikat terlalu birokratis.
12	Kristologi-Yesus-flat	Aliran ini memiliki ajaran yang bervariasi mengenai Kristologi Yesus: Doketisme merupakan salah satu aliran dari Gnostisisme yang ada pada saat itu.
13	Santa-Fe-flat,Vega-de-flat,de-Granada-flat,Sungai-Genil-flat	Santa Fe adalah sebuah kotamadya di Vega de Granada, Granada, Spanyol, dialiri oleh Sungai Genil.
14	badan-kapal-compound,mesin-gas-compound,gas-turbin-compound,General-Electric-flat,Electric-LM-flat,buah-mesin-compound,mesin-diesel-compound	Kapal ini didesain sebagai kapal serang berkecapatan tinggi, untuk mencapai itu maka badan kapal dibuat dari Aluminium sehingga bisa lebih ringan selain itu untuk mencapai kecepatan tinggi kapal ini dilengkapi dengan mesin gas turbin General Electric LM 1500 selain 2 buah mesin diesel untuk kecepatan rendah.
15	bulan-Desember-flat	Partai ini didirikan pada bulan Desember 1945 di Purwakarta.
16	keterangan-kejatuhan-compound,kejatuhan-Yerusalem-flat,gagalnya-Sanherib-compound	Tidak ada keterangan kejatuhan Yerusalem (berbeda dengan kota - kota lain) maupun gagalnya Sanherib merebut Yerusalem.
17	Bang-Yong-flat,Yong-Guk-flat,penyanyi-K-flat	Bang Yong Guk berkomentar, "Tujuan saya dari awal tidak menjadi penyanyi K - pop.
18	Lambda-Indonesia-flat,organisasi-sejenis-compound	Lambda Indonesia dan organisasi sejenis lainnya bermunculan pada akhir tahun 1980 - an dan 1990 - an.
21	Soa-Sahertian-flat,Soa-Tetelepta-flat,Soa-Polnaya-flat,Soa-Wattimury-flat,Soa-Latuihamallo-flat,Soa-Aponno-flat	Soa Sahertian, Soa Tetelepta, Soa Polnaya, Soa Wattimury, Soa Latuihamallo, dan Soa Aponno.
23	sekilas-wajah-compound,desa-Mundu-flat	Itulah sekilas wajah / cermin desa Mundu.
25	Pemimpin-Umum-flat,Redaksi-Renungan-flat,Renungan-Harian-flat,Harian-Anggur-flat,Anggur-Baru-flat,BPH-Sinode-compound,Sinode-Gereja-compound,Gereja-Bethel-flat,Bethel-Indonesia-flat	Pdt. Fecki merupakan Pemimpin Umum / Redaksi Renungan Harian Anggur Baru. Ia menjabat sebagai Sekretaris II BPH Sinode Gereja Bethel Indonesia untuk periode 2008 - 2012.
26	Franky-Sahilatua-flat,Hitam-Putih-flat,solo-Franky-flat,&amp;-Jane-flat	Lelaki dan Telaga adalah album solo Franky Sahilatua yang berisi tiga lagu baru ("Lelaki dan Telaga", "Hitam Putih", dan "Nyanyian Para Mantan") dan sisanya adalah lagu - lagu yang diambil dari album - album solo Franky sebelumnya maupun album - album Franky &amp; Jane.
